name,metric,value
n=2,scalar_time_ms,0.03753700002562255
n=2,matrix_time_ms,0.01766599998518359
n=2,time_overhead,0.47062897869102155
n=2,flops_overhead,1.6842105263157894
n=2,scalar_flops_fwd,152
n=2,matrix_flops_fwd,256
n=2,scalar_params,80
n=2,matrix_params,80
n=2,n,2
n=4,scalar_time_ms,0.014821000004303642
n=4,matrix_time_ms,0.060292999987723306
n=4,time_overhead,4.068079074975761
n=4,flops_overhead,3.240506329113924
n=4,scalar_flops_fwd,632
n=4,matrix_flops_fwd,2048
n=4,scalar_params,320
n=4,matrix_params,320
n=4,n,4
n=8,scalar_time_ms,0.060149999990244396
n=8,matrix_time_ms,0.11433599996962585
n=8,time_overhead,1.900847880102573
n=8,flops_overhead,6.420062695924765
n=8,scalar_flops_fwd,2552
n=8,matrix_flops_fwd,16384
n=8,scalar_params,1280
n=8,matrix_params,1280
n=8,n,8
n=16,scalar_time_ms,0.05530699996597832
n=16,matrix_time_ms,0.21805600001243874
n=16,time_overhead,3.942647407137871
n=16,flops_overhead,12.810007818608288
n=16,scalar_flops_fwd,10232
n=16,matrix_flops_fwd,131072
n=16,scalar_params,5120
n=16,matrix_params,5120
n=16,n,16
