name,metric,value
scalar,memory_bytes,80
scalar,params,20
scalar,flops_per_step,1024
n=2,memory_bytes,320
n=2,memory_ratio_vs_scalar,4.0
n=2,params,80
n=2,params_ratio_vs_scalar,4.0
n=2,flops_per_step,8192
n=2,flops_ratio_vs_scalar,8.0
n=2,n,2
n=4,memory_bytes,1280
n=4,memory_ratio_vs_scalar,16.0
n=4,params,320
n=4,params_ratio_vs_scalar,16.0
n=4,flops_per_step,65536
n=4,flops_ratio_vs_scalar,64.0
n=4,n,4
n=8,memory_bytes,5120
n=8,memory_ratio_vs_scalar,64.0
n=8,params,1280
n=8,params_ratio_vs_scalar,64.0
n=8,flops_per_step,524288
n=8,flops_ratio_vs_scalar,512.0
n=8,n,8
n=16,memory_bytes,20480
n=16,memory_ratio_vs_scalar,256.0
n=16,params,5120
n=16,params_ratio_vs_scalar,256.0
n=16,flops_per_step,4194304
n=16,flops_ratio_vs_scalar,4096.0
n=16,n,16
n=32,memory_bytes,81920
n=32,memory_ratio_vs_scalar,1024.0
n=32,params,20480
n=32,params_ratio_vs_scalar,1024.0
n=32,flops_per_step,33554432
n=32,flops_ratio_vs_scalar,32768.0
n=32,n,32
n=64,memory_bytes,327680
n=64,memory_ratio_vs_scalar,4096.0
n=64,params,81920
n=64,params_ratio_vs_scalar,4096.0
n=64,flops_per_step,268435456
n=64,flops_ratio_vs_scalar,262144.0
n=64,n,64
