name,metric,value
n_train=15,scalar_final_loss,0.2816722095012665
n_train=15,matrix_final_loss,0.2799220383167267
n_train=15,scalar_epochs,12
n_train=15,matrix_epochs,14
n_train=15,speedup,0.8571428571428571
n_train=15,n_train,15
n_train=15,fraction,0.01
n_train=75,scalar_final_loss,0.28166401386260986
n_train=75,matrix_final_loss,0.27995750308036804
n_train=75,scalar_epochs,12
n_train=75,matrix_epochs,15
n_train=75,speedup,0.8
n_train=75,n_train,75
n_train=75,fraction,0.05
n_train=150,scalar_final_loss,0.2817237079143524
n_train=150,matrix_final_loss,0.26848071813583374
n_train=150,scalar_epochs,12
n_train=150,matrix_epochs,44
n_train=150,speedup,0.2727272727272727
n_train=150,n_train,150
n_train=150,fraction,0.1
n_train=375,scalar_final_loss,0.28169262409210205
n_train=375,matrix_final_loss,0.2662757933139801
n_train=375,scalar_epochs,12
n_train=375,matrix_epochs,44
n_train=375,speedup,0.2727272727272727
n_train=375,n_train,375
n_train=375,fraction,0.25
n_train=750,scalar_final_loss,0.269843727350235
n_train=750,matrix_final_loss,0.26520827412605286
n_train=750,scalar_epochs,44
n_train=750,matrix_epochs,53
n_train=750,speedup,0.8301886792452831
n_train=750,n_train,750
n_train=750,fraction,0.5
n_train=1500,scalar_final_loss,0.2663676142692566
n_train=1500,matrix_final_loss,0.26408839225769043
n_train=1500,scalar_epochs,42
n_train=1500,matrix_epochs,52
n_train=1500,speedup,0.8076923076923077
n_train=1500,n_train,1500
n_train=1500,fraction,1.0
