name,metric,value
scalar,train_step_ms,4.564472000056412
scalar,params,20
scalar,flops_total,3072
n=2,train_step_ms,4.089701999982935
n=2,overhead,0.8959857788441666
n=2,flops_overhead,8.0
n=2,params,80
n=2,flops_total,24576
n=2,n,2
n=4,train_step_ms,4.655988000013167
n=4,overhead,1.02004963552315
n=4,flops_overhead,64.0
n=4,params,320
n=4,flops_total,196608
n=4,n,4
n=8,train_step_ms,5.1641599999857135
n=8,overhead,1.1313816800545364
n=8,flops_overhead,512.0
n=8,params,1280
n=8,flops_total,1572864
n=8,n,8
n=16,train_step_ms,5.944862000033027
n=16,overhead,1.3024205209188608
n=16,flops_overhead,4096.0
n=16,params,5120
n=16,flops_total,12582912
n=16,n,16
