Architecture,Model,Size_n,BatchSize,LearningRate,Params,FLOPs_per_step,Total_Time,Time_per_Epoch,Final_Loss
LINEAR_REGRESSION,MATNETS,4,32,0.001,144,69160.0,0.1442883014678955,0.07214415073394775,0.6628167629241943
LINEAR_REGRESSION,Scalar,-,32,0.001,161,22820.0,0.20308256149291992,0.10154128074645996,0.13103549182415009
LINEAR_REGRESSION,MATNETS,4,32,0.0005,144,69160.0,0.1414508819580078,0.0707254409790039,1.9085142612457275
LINEAR_REGRESSION,Scalar,-,32,0.0005,161,22820.0,0.18645739555358887,0.09322869777679443,0.34299927949905396
LINEAR_REGRESSION,MATNETS,4,64,0.001,144,136456.0,0.0786590576171875,0.03932952880859375,1.004244327545166
LINEAR_REGRESSION,Scalar,-,64,0.001,161,43556.0,0.09752869606018066,0.04876434803009033,0.3088226020336151
LINEAR_REGRESSION,MATNETS,4,64,0.0005,144,136456.0,0.07858657836914062,0.03929328918457031,1.46053147315979
LINEAR_REGRESSION,Scalar,-,64,0.0005,161,43556.0,0.09740042686462402,0.04870021343231201,0.27144700288772583
LINEAR_REGRESSION,MATNETS,8,32,0.001,576,538088.0,0.14275693893432617,0.07137846946716309,0.7768014669418335
LINEAR_REGRESSION,Scalar,-,32,0.001,581,81998.0,0.1826469898223877,0.09132349491119385,0.2027001529932022
LINEAR_REGRESSION,MATNETS,8,32,0.0005,576,538088.0,0.14377140998840332,0.07188570499420166,1.2148305177688599
LINEAR_REGRESSION,Scalar,-,32,0.0005,581,81998.0,0.1839430332183838,0.0919715166091919,0.2853132486343384
LINEAR_REGRESSION,MATNETS,8,64,0.001,576,1068744.0,0.08022284507751465,0.040111422538757324,1.4827873706817627
LINEAR_REGRESSION,Scalar,-,64,0.001,581,156494.0,0.09803366661071777,0.04901683330535889,0.3331907391548157
LINEAR_REGRESSION,MATNETS,8,64,0.0005,576,1068744.0,0.08110737800598145,0.04055368900299072,1.8424321413040161
LINEAR_REGRESSION,Scalar,-,64,0.0005,581,156494.0,0.10099506378173828,0.05049753189086914,0.2967180013656616
TABULAR,MATNETS,4,32,0.001,2064,1072168.0,0.005400657653808594,0.002700328826904297,0.2450127750635147
TABULAR,Scalar,-,32,0.001,2081,361268.0,0.007894039154052734,0.003947019577026367,0.2870345711708069
TABULAR,MATNETS,4,32,0.0005,2064,1072168.0,0.00581669807434082,0.00290834903717041,0.39803165197372437
TABULAR,Scalar,-,32,0.0005,2081,361268.0,0.007816553115844727,0.003908276557922363,0.5991227030754089
