Architecture,Model,Size_n,BatchSize,Params,FLOPs,Train_Time_Per_Batch,Final_Loss
LINEAR_REGRESSION,MATNETS,2,8,36,2672.0,0.0006842613220214844,2.6737687587738037
LINEAR_REGRESSION,Scalar,-,8,41,1880.0,0.0011603832244873047,4.4727582931518555
LINEAR_REGRESSION,MATNETS,2,16,36,4872.0,0.001280069351196289,4.2144975662231445
LINEAR_REGRESSION,Scalar,-,16,41,3224.0,0.0021522045135498047,5.810577869415283
LINEAR_REGRESSION,MATNETS,2,32,36,9272.0,0.0008234977722167969,4.144397258758545
LINEAR_REGRESSION,Scalar,-,32,41,5912.0,0.001012563705444336,3.8640291690826416
LINEAR_REGRESSION,MATNETS,4,8,144,18688.0,0.0008139610290527344,3.168104410171509
LINEAR_REGRESSION,Scalar,-,8,161,7268.0,0.0011208057403564453,5.9354400634765625
LINEAR_REGRESSION,MATNETS,4,16,144,35512.0,0.0007944107055664062,2.2846872806549072
LINEAR_REGRESSION,Scalar,-,16,161,12452.0,0.001064300537109375,3.068866014480591
LINEAR_REGRESSION,MATNETS,4,32,144,69160.0,0.0009100437164306641,3.9415836334228516
LINEAR_REGRESSION,Scalar,-,32,161,22820.0,0.0010514259338378906,4.437732219696045
LINEAR_REGRESSION,MATNETS,8,8,576,140096.0,0.0009088516235351562,1.9465901851654053
LINEAR_REGRESSION,Scalar,-,8,581,26126.0,0.0010256767272949219,2.046781063079834
LINEAR_REGRESSION,MATNETS,8,16,576,272760.0,0.0013842582702636719,1.8317116498947144
LINEAR_REGRESSION,Scalar,-,16,581,44750.0,0.0010690689086914062,2.8020639419555664
LINEAR_REGRESSION,MATNETS,8,32,576,538088.0,0.0008423328399658203,4.652071952819824
LINEAR_REGRESSION,Scalar,-,32,581,81998.0,0.0010981559753417969,6.3399338722229
TABULAR,MATNETS,2,8,164,12944.0,0.0009918212890625,0.6749513745307922
TABULAR,Scalar,-,8,211,11498.0,0.0013270378112792969,0.6850392818450928
TABULAR,MATNETS,2,16,164,23768.0,0.0011625289916992188,0.7006650567054749
TABULAR,Scalar,-,16,211,20266.0,0.0013439655303955078,0.7266513109207153
